1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
195	-0.076094	11.107514	12.438440	0.011701	1.8
196	-0.037462	12.107514	12.062742	0.004648	1.8
197	-0.103121	13.105587	11.709735	0.002429	2.0
198	-0.010776	12.706280	11.848457	0.001968	1.9
199	-0.093760	12.184218	12.034859	0.006703	1.9
200	-0.041583	13.062175	11.724659	0.008511	1.8
201	-0.065977	14.062174	11.390263	0.002869	1.8
202	-0.064155	14.923899	11.117039	0.006723	1.8
203	-0.037230	14.356731	11.295371	0.002716	1.8
204	-0.059133	15.340990	10.989447	0.003278	1.8
205	-0.038072	16.169698	10.744435	0.005326	1.8
206	-0.030476	17.146188	10.469392	0.004421	1.8
207	-0.041344	18.055168	10.225725	0.005998	1.7
208	-0.045196	18.056601	10.225349	0.003170	1.8
209	-0.055252	18.103761	10.213018	0.007312	1.7
210	-0.088328	17.183041	10.459287	0.001940	1.8
211	-0.056376	16.583818	10.626046	0.005960	1.9
212	-0.066570	17.281797	10.432305	0.014406	1.8
213	-0.051865	16.357546	10.690408	0.004763	1.8
214	-0.095714	15.433296	10.961605	0.002720	1.7
215	-0.053954	14.607429	11.215845	0.004453	1.8
216	-0.058292	13.767157	11.486916	0.013800	1.8
217	-0.090725	12.842905	11.800624	0.001581	1.8
218	-0.048599	11.941866	12.123399	0.005351	1.9
219	-0.075030	12.568624	11.897044	0.003496	1.9
220	-0.051733	13.539114	11.562757	0.002285	1.8
221	-0.080451	14.267570	11.323927	0.004392	1.8
222	-0.104472	13.455704	11.590748	0.003965	1.7
223	-0.088137	14.420100	11.275163	0.001485	2.0
224	-0.064141	14.757511	11.168769	0.007777	1.7
225	-0.068009	14.000340	11.410386	0.003119	1.8
226	-0.051859	13.080246	11.718442	0.001140	1.9
227	-0.063096	13.498723	11.576295	0.001580	1.9
228	-0.096682	13.300848	11.643077	0.007219	1.8
229	-0.041628	14.068327	11.388265	0.013257	1.6
230	-0.048288	13.144075	11.696536	0.003158	1.8
231	-0.049994	12.220571	12.021690	0.003166	1.7
232	-0.079471	11.424139	12.316978	0.015807	1.8
233	-0.039380	10.499945	12.678352	0.005339	1.8
234	-0.079669	11.499945	12.288248	0.002340	1.9
235	-0.101316	12.115998	12.059652	0.006523	1.8
236	-0.080871	12.779692	11.822707	0.010105	1.8
237	-0.079544	13.779627	11.482797	0.003178	1.8
238	-0.051430	14.755277	11.169467	0.003424	1.9
239	-0.050702	15.044000	11.079996	0.002173	1.6
240	-0.056537	15.736413	10.871159	0.003087	1.8
241	-0.079184	15.977200	10.800369	0.003791	1.8
242	-0.061483	15.295590	11.003193	0.005307	1.8
243	-0.107338	14.403395	11.280483	0.001699	1.8
244	-0.091369	13.675175	11.517387	0.004765	1.7
245	-0.068319	12.935204	11.768528	0.002646	1.8
246	-0.056256	12.068396	12.077011	0.007520	1.8
247	-0.030177	11.161016	12.417748	0.002619	1.8
248	-0.042651	12.149147	12.047592	0.003305	1.8
249	-0.079204	11.622262	12.242174	0.010466	1.9
250	-0.035249	11.532481	12.275959	0.012129	1.8
251	-0.075958	10.608229	12.634918	0.001511	1.8
252	-0.062824	9.703881	13.007066	0.006094	1.9
253	-0.083203	8.920514	13.347611	0.004928	1.8
254	-0.048975	9.891383	12.928116	0.005270	1.9
255	-0.040705	10.889523	12.523467	0.008390	1.8
