x,surface_ref,surface_mov_before,surface_mov_after,edge_margin_px,rotation_angle_deg
71,702.0,699.0,693.0,139,9.5
72,702.0,699.0,693.0,139,9.5
73,702.0,698.0,693.0,139,9.5
74,702.0,697.0,693.0,139,9.5
75,702.0,697.0,693.0,139,9.5
76,702.0,696.0,693.0,139,9.5
77,702.0,696.0,693.0,139,9.5
78,702.0,696.0,693.0,139,9.5
79,702.0,695.0,693.0,139,9.5
80,702.0,695.0,693.0,139,9.5
81,702.0,695.0,693.0,139,9.5
82,702.0,694.0,693.0,139,9.5
83,702.0,694.0,693.0,139,9.5
84,702.0,694.0,693.0,139,9.5
85,702.0,693.0,693.0,139,9.5
86,702.0,693.0,693.0,139,9.5
87,702.0,692.0,693.0,139,9.5
88,702.0,692.0,693.0,139,9.5
89,702.0,691.0,693.0,139,9.5
90,702.0,691.0,693.0,139,9.5
91,702.0,690.0,693.0,139,9.5
92,702.0,690.0,693.0,139,9.5
93,702.0,689.0,693.0,139,9.5
94,702.0,689.0,693.0,139,9.5
95,702.0,688.0,693.0,139,9.5
96,702.0,688.0,693.0,139,9.5
97,702.0,687.0,693.0,139,9.5
98,702.0,686.0,693.0,139,9.5
99,702.0,686.0,693.0,139,9.5
100,702.0,685.0,693.0,139,9.5
101,702.0,685.0,693.0,139,9.5
102,702.0,684.0,693.0,139,9.5
103,702.0,683.0,693.0,139,9.5
104,702.0,683.0,693.0,139,9.5
105,702.0,682.0,693.0,139,9.5
106,702.0,682.0,693.0,139,9.5
107,702.0,681.0,693.0,139,9.5
108,702.0,681.0,693.0,139,9.5
109,702.0,680.0,693.0,139,9.5
110,702.0,679.0,693.0,139,9.5
111,702.0,679.0,693.0,139,9.5
112,702.0,678.0,693.0,139,9.5
113,702.0,677.0,693.0,139,9.5
114,702.0,676.0,693.0,139,9.5
115,702.0,676.0,693.0,139,9.5
116,702.0,675.0,693.0,139,9.5
117,702.0,674.0,693.0,139,9.5
118,702.0,674.0,693.0,139,9.5
119,702.0,673.0,693.0,139,9.5
120,702.0,673.0,693.0,139,9.5
121,702.0,673.0,693.0,139,9.5
122,702.0,673.0,693.0,139,9.5
123,702.0,673.0,693.0,139,9.5
124,702.0,673.0,693.0,139,9.5
125,702.0,673.0,693.0,139,9.5
126,702.0,673.0,693.0,139,9.5
127,702.0,673.0,693.0,139,9.5
128,702.0,673.0,693.0,139,9.5
129,702.0,673.0,693.0,139,9.5
130,702.0,673.0,693.0,139,9.5
131,702.0,673.0,693.0,139,9.5
