x,surface_ref,surface_mov_before,surface_mov_after,edge_margin_px,rotation_angle_deg
237,621.0,616.0,620.0,30,2.0
238,622.0,616.0,620.0,30,2.0
239,622.0,616.0,620.0,30,2.0
240,622.0,616.0,620.0,30,2.0
241,622.0,616.0,620.0,30,2.0
242,622.0,616.0,620.0,30,2.0
243,622.0,616.0,620.0,30,2.0
244,622.0,616.0,620.0,30,2.0
245,622.0,616.0,620.0,30,2.0
246,622.0,616.0,620.0,30,2.0
247,622.0,617.0,620.0,30,2.0
248,622.0,617.0,620.0,30,2.0
249,622.0,617.0,620.0,30,2.0
250,622.0,617.0,620.0,30,2.0
251,622.0,617.0,620.0,30,2.0
252,622.0,617.0,620.0,30,2.0
253,622.0,617.0,620.0,30,2.0
254,622.0,617.0,620.0,30,2.0
255,622.0,617.0,620.0,30,2.0
256,622.0,617.0,620.0,30,2.0
257,622.0,617.0,620.0,30,2.0
258,622.0,617.0,620.0,30,2.0
259,622.0,617.0,620.0,30,2.0
260,622.0,617.0,620.0,30,2.0
261,622.0,617.0,620.0,30,2.0
262,622.0,617.0,620.0,30,2.0
263,622.0,618.0,621.0,30,2.0
264,622.0,618.0,621.0,30,2.0
265,622.0,618.0,621.0,30,2.0
266,623.0,618.0,621.0,30,2.0
267,623.0,618.0,621.0,30,2.0
268,623.0,618.0,621.0,30,2.0
269,623.0,618.0,621.0,30,2.0
270,623.0,618.0,621.0,30,2.0
271,623.0,618.0,621.0,30,2.0
272,623.0,618.0,621.0,30,2.0
273,623.0,619.0,621.0,30,2.0
274,623.0,619.0,621.0,30,2.0
275,623.0,619.0,621.0,30,2.0
276,623.0,619.0,621.0,30,2.0
277,623.0,619.0,621.0,30,2.0
278,623.0,619.0,622.0,30,2.0
279,623.0,619.0,622.0,30,2.0
280,623.0,619.0,622.0,30,2.0
281,623.0,619.0,622.0,30,2.0
282,623.0,619.0,622.0,30,2.0
283,623.0,619.0,622.0,30,2.0
284,623.0,619.0,622.0,30,2.0
285,623.0,619.0,622.0,30,2.0
286,623.0,619.0,622.0,30,2.0
287,623.0,619.0,622.0,30,2.0
288,623.0,619.0,622.0,30,2.0
289,623.0,619.0,622.0,30,2.0
290,623.0,619.0,622.0,30,2.0
291,623.0,619.0,622.0,30,2.0
292,623.0,619.0,622.0,30,2.0
293,623.0,619.0,622.0,30,2.0
294,623.0,619.0,622.0,30,2.0
295,623.0,620.0,622.0,30,2.0
296,623.0,620.0,622.0,30,2.0
297,624.0,620.0,622.0,30,2.0
298,624.0,620.0,622.0,30,2.0
299,624.0,620.0,622.0,30,2.0
300,624.0,620.0,622.0,30,2.0
301,624.0,620.0,622.0,30,2.0
302,624.0,620.0,622.0,30,2.0
303,624.0,620.0,622.0,30,2.0
304,624.0,621.0,622.0,30,2.0
305,624.0,621.0,622.0,30,2.0
